No,Nama_Pelanggan,Informasi_Trouble,Jenis_Trouble,Perangkat,Service,Tanggal_Compliment_Pelanggan,Selesai_Pengerjaan,Durasi_Pengerjaan,Keterangan_Action,No_SPK
1,Pelanggan_0105,Hardware Failure 48,Hardware Failure,Server,UP,2025-11-05 00:00:00,2025-11-13 00:00:00,8 Hari,Selesai,SPK-00001
2,Pelanggan_0224,Hardware Failure 6,Hardware Failure,Server,UP,2025-10-08 00:00:00,2025-10-18 00:00:00,10 Hari,Selesai,SPK-00002
3,Pelanggan_0719,Human Error 42,Human,Printer,UP,2026-04-02 00:00:00,2026-04-03 00:00:00,1 Hari,Selesai,SPK-00003
4,Pelanggan_0778,Hardware Failure 1,Hardware Failure,Firewall,UP,2026-04-26 00:00:00,2026-05-05 00:00:00,9 Hari,Selesai,SPK-00004
5,Pelanggan_0981,Software Issue 14,Software Issue,Server,UP,2025-11-09 00:00:00,2025-11-12 00:00:00,3 Hari,Selesai,SPK-00005
6,Pelanggan_0619,Software Issue 23,Software Issue,PC,UP,2025-12-31 00:00:00,2026-01-02 00:00:00,2 Hari,Selesai,SPK-00006
7,Pelanggan_0081,Config Issue 25,Configuration Issue,Accesspoint,UP,2025-11-01 00:00:00,2025-11-06 00:00:00,5 Hari,Selesai,SPK-00007
8,Pelanggan_0678,Hardware Failure 3,Hardware Failure,Switch,UP,2025-10-18 00:00:00,2025-10-28 00:00:00,10 Hari,Selesai,SPK-00008
9,Pelanggan_0390,Human Error 7,Human,Laptop,DOWN,2026-05-10 00:00:00,2026-05-11 00:00:00,1 Hari,Selesai,SPK-00009
10,Pelanggan_0687,Config Issue 14,Configuration Issue,Router,UP,2025-12-30 00:00:00,2026-01-03 00:00:00,4 Hari,Selesai,SPK-00010
11,Pelanggan_0547,Config Issue 11,Configuration Issue,Router,UP,2026-03-12 00:00:00,2026-03-17 00:00:00,5 Hari,Selesai,SPK-00011
12,Pelanggan_0705,Software Issue 41,Software Issue,PC,UP,2026-05-25 00:00:00,2026-05-28 00:00:00,3 Hari,Selesai,SPK-00012
13,Pelanggan_0411,Hardware Failure 21,Hardware Failure,Switch,UP,2025-10-09 00:00:00,2025-10-15 00:00:00,6 Hari,Selesai,SPK-00013
14,Pelanggan_0672,Config Issue 14,Configuration Issue,Accesspoint,DOWN,2025-12-20 00:00:00,2025-12-25 00:00:00,5 Hari,Selesai,SPK-00014
